agency,agencyId,title,deadline,reference,budget,details,keywords
nsf,nsf06566,"NSF 06 566 Biomedical Engineering , Research to Aid Persons with Disabilities , and Biophotonics Programs",,https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm,"3,000,000",The BME RAPD programs encompass a the Biomedical Engineering program BME and b the Research to Aid Persons with Disabilities program RAPD . The Biophotonics area is part of BME but is broken out separately because of its rapid growth in size and scope . Biomedical Engineering supports research that often with diagnosis or treatment related goals applies engineering principles to problems in biology and medicine while advancing the engineering knowledge base . Integration of engineering expertise with life science principles is an essential requirement for advances in this field . The RAPD program supports the development of technologies for new and improved devices or software for persons with disabilities . Current areas of particular interest in BME RAPD are biomedical photonics novel tissue characterization schemes new cellular and tissue engineering concepts the innovative integration of multi disciplinary technologies for new imaging and biosensing systems and Point of Care technologies related to chronic illness persons with disabilities and the aging . Support is provided through submission of proposals as well as through special initiatives .,"[""engineering"",""bme"",""new"",""rapd""]"
nsf,nsf03561,NSF 03 561 Bridges for Engineering Education,2003-6-25,https://www.nsf.gov/pubs/2003/nsf03561/nsf03561.htm,"3,000,000",The Bridges for Engineering Education BEE Planning Grants solicitation is a collaborative effort between the Directorate for Engineering ENG and the Directorate for Education and Human Resources EHR . This program provides an opportunity for institutions to compete for planning grants to develop proposals that improve The engineering content in K 12 education . The pedagogy in undergraduate engineering . Engineering technology degree programs .,"[""engineering"",""education"",""planning"",""directorate""]"
nsf,nsf07548,NSF 07 548 Broadening Participation in Computing BPC,2007-6-04,https://www.nsf.gov/pubs/2007/nsf07548/nsf07548.htm,"14,000,000",The Broadening Participation in Computing BPC program aims to significantly increase the number of U . S . citizens and permanent residents receiving post secondary degrees in the computing disciplines with an emphasis on students from communities with longstanding underrepresentation in computing women persons with disabilities and minorities . Included minorities are African Americans Hispanics American Indians Alaska Natives Native Hawaiians and Pacific Islanders . The BPC program seeks to engage the computing community in developing and implementing innovative methods to improve recruitment and retention of these students at the undergraduate and graduate levels . Because the lack of role models in the professoriate can be a barrier to participation the BPC program also aims to develop effective strategies for encouraging individuals to pursue academic careers in computing and become these role models . There are three components to the BPC program Alliances . Broad Alliances of institutions and organizations will design and carry out comprehensive programs that address underrepresentation in the computing disciplines . Alliances will join academic institutions of higher learning with secondary and possibly middle schools government industry professional societies and other not for profit organizations . In most cases Alliances will involve multiple academic institutions of higher learning . Together the participants will 1 develop and implement interventions that support students 2 create sustainable changes in culture and practices at the institutional departmental and organizational levels and 3 serve as models and repositories for effective practices to broaden participation . The emphasis will be on activities that have significant impact both in the quality of opportunities afforded to students and in the number of students potentially served . While the focus is on implementations an Alliance may include complementary research that informs the design of its activities . The leveraging of existing efforts both across and within the underrpresented communities is strongly encouraged . Alliance Extensions . Successful BPC Alliances can propose additional funding to significantly expand the impact of their work . The new funding can overlap with the final year of the Alliance project and can extend it for up to two years . Extensions must increase not just the duration of the Alliance award but also its scope introducing additional targeted student groups partners and or projects . Demonstration Projects . Demonstration Projects DPs are smaller in scope and narrower in focus than Alliance projects . Typically DPs will be pilots of innovative programs that once fully developed could be incorporated into the activities of an Alliance . Projects might for example be proposed by a single institution or might focus on a specific underrepresented community a specific point in the academic pipeline or on a specific impediment to full participation in computing . As in the case of Alliances complementary well defined research aimed at informing the development of the project can be included .,"[""computing"",""projects"",""alliances"",""bpc"",""alliance""]"
nsf,nsf05562,NSF 05 562 Broadening Participation in Computing BPC,2005-6-14,https://www.nsf.gov/pubs/2005/nsf05562/nsf05562.htm,"14,000,000",The Broadening Participation in Computing BPC program aims to significantly increase the number of students who are U . S . citizens and permanent residents receiving post secondary degrees in the computing disciplines . Initially its emphasis will be on students from communities with longstanding underrepresentation in computing women persons with disabilities and minorities . Included minorities are African Americans Hispanics American Indians Alaska Natives Native Hawaiians and Pacific Islanders . The BPC program seeks to engage the computing community in developing and implementing innovative methods to improve recruitment and retention of these students at the undergraduate and graduate levels . Because the lack of role models in the professoriate can be a barrier to participation the BPC program also aims to develop effective strategies for identifying and supporting members of the targeted groups who want to pursue academic careers in computing . While these efforts focus on underrepresented groups it is expected that the resulting types of interventions will improve research and education opportunities for all students in computing . There are three components to the BPC program Alliances . Broad Alliances of institutions and organizations will design and carry out comprehensive programs that address underrepresentation in the computing disciplines . Alliances will join academic institutions of higher learning with secondary schools government industry professional societies and other not for profit organizations . Together the participants will 1 develop and implement interventions that support students 2 create sustainable changes in culture and practices at the institutional departmental and organizational levels and 3 serve as models and repositories for effective practices to broaden participation . The emphasis will be on activities that have significant impact both in the quality of opportunities afforded to students and in the number of students potentially served . While the focus is on implementations Alliances may include complementary research that informs the design of those implementations by increasing our understanding of longstanding underrepresentation . The leveraging of existing efforts both across and within the targeted communities is strongly encouraged . Demonstration Projects . Demonstration Projects DPs are smaller in scope and narrower in focus than Alliance projects . Typically DPs will be pilots of programs that once fully developed could be incorporated into the activities of an Alliance . Projects might for example focus on a specific underrepresented community a specific point in the academic pipeline or on a specific impediment to full participation in computing . As in the case of Alliances complementary well defined research aimed at informing the development of the project can be included . Supplements . Supplements to existing CISE grants will be made in order to engage more members of the computing research community in significant BPC efforts . These supplements will increase target community participation in specific research areas .,"[""computing"",""students"",""bpc"",""alliances"",""participation""]"
nsf,nsf06540,NSF 06 540 Broadening Participation in Computing BPC,may 17 ; may 17 ; may 17,https://www.nsf.gov/pubs/2006/nsf06540/nsf06540.htm,"14,000,000",,]
nsf,nsf07589,NSF 07 589 Broadening Participation Research Initiation Grants in Engineering BRIGE,2008-2-08,https://www.nsf.gov/pubs/2007/nsf07589/nsf07589.htm,"4,000,000",With the goal of broadening participation to all engineers including members from groups underrepresented in the engineering disciplines the Directorate for Engineering ENG at NSF offers a research initiation grant funding opportunity . These grants are intended to increase the diversity of researchers who apply for and receive ENG funding to initiate research programs early in their careers including those from under represented groups engineers at minority serving . institutions and persons with disabilities . By providing these funding opportunities ENG intends to further broaden participation of engineering researchers who share NSF s commitment to diversity in the following ways Expand the population of role models who will interact with an increasingly diverse student population the workforce of the futureIncrease the number of engineering researchers at minority serving institutions actively and competitively engaged in research as independent investigators thereby creating new research opportunities for students from underrepresented groupsFund engineering research projects that use innovative ways to attract and retain members of under represented groups to careers in engineering . Awards are for 24 months and are limited to a maximum of 175 000 total costs direct plus indirect . Principal Investigators must be U . S . citizens or lawfully admitted U . S . permanent residents at the time of application visa holders are not eligible .,"[""engineering"",""research"",""funding"",""eng"",""researchers""]"
nsf,nsf08606,NSF 08 606 Broadening Participation Research Initiation Grants in Engineering BRIGE,2009-2-13,https://www.nsf.gov/pubs/2008/nsf08606/nsf08606.htm,"4,000,000",The Directorate for Engineering ENG at the National Science Foundation offers a research initiation grant funding opportunity with the goal of broadening participation to all engineers including members from groups underrepresented in the engineering disciplines . These grants are intended to increase the diversity of researchers in engineering disciplines to initiate research programs early in their careers including those from underrepresented groups engineers at minority serving institutions and persons with disabilities . By providing these funding opportunities ENG intends to further broaden participation of engineering researchers who share NSF s commitment to diversity in the following ways Expand the population of role models who will interact with an increasingly diverse student population the workforce of the futureIncrease the number of engineering researchers at minority serving institutions actively and competitively engaged in research as independent investigators thereby creating new research opportunities for students from underrepresented groupsFund engineering research projects that use innovative ways to attract and retain members of underrepresented groups to careers in engineeringAwards are for 24 months and are limited to a maximum of 175 000 total costs direct plus indirect . Principal Investigators must be U . S . citizens or lawfully admitted U . S . permanent residents at the time of application visa holders are not eligible .,"[""engineering"",""research"",""underrepresented""]"
nsf,nsf10509,NSF 10 509 Broadening Participation Research Initiation Grants in Engineering BRIGE,2010-2-25,https://www.nsf.gov/pubs/2010/nsf10509/nsf10509.htm,"5,000,000",The Directorate for Engineering ENG at the National Science Foundation offers a research initiation grant funding opportunity with the goal of broadening participation to all engineers including members from underrepresented groups and persons with disabilities in the engineering disciplines . These grants are intended to increase the diversity of researchers in engineering disciplines to initiate research programs early in their careers including those from underrepresented groups engineers at minority serving institutions and persons with disabilities . By providing these funding opportunities ENG intends to further broaden participation of engineering researchers who share NSF s commitment to diversity in the following ways Expand the population of role models who will interact with an increasingly diverse student population the workforce of the future . Increase the number of engineering researchers at minority serving institutions actively and competitively engaged in research as independent investigators thereby creating new research opportunities for students from underrepresented groups and persons with disabilities . Fund engineering research projects that use innovative ways to attract and retain members of underrepresented groups and persons with disabilities to careers in engineering . Awards are for 24 months and are limited to a maximum of 175 000 total costs direct plus indirect . Principal Investigators must be U . S . citizens or lawfully admitted U . S . permanent residents at the time of application visa holders are not eligible .,"[""engineering"",""groups"",""research"",""underrepresented""]"
nsf,nsf11576,NSF 11 576 Broadening Participation Research Initiation Grants in Engineering 2012 BRIGE,2012-1-20,https://www.nsf.gov/pubs/2011/nsf11576/nsf11576.htm,"5,000,000",A new solicitation for the BRIGE program is in preparation for a Fiscal Year 13 competition . The due date for full proposals will be determined at a later time but will be no fewer than 90 days from the date of posting of the solicitation . NSF advises that potential PIs should delay preparation of proposals until the new solicitation is released . To address the need to enhance diversity in its programs the Directorate for Engineering ENG at the National Science Foundation is offering research initiation grants under the Broadening Participation Research Initiation Grants in Engineering program BRIGE . ENG offers this BRIGE funding opportunity to all beginning engineers with the intent of increasing the diversity of researchers in the engineering disciplines . The goal of the BRIGE solicitation is to increase the number of proposals to the Directorate for Engineering from individuals who can serve as role models and mentors for an increasingly diverse engineering student population who will become the workforce of the future . BRIGE aims to support innovative research and diversity plans that contribute to recruiting and retaining a broad representation of engineering researchers especially those from groups that are underrepresented in the engineering population . Throughout this solicitation the term underrepresented groups will refer to and include the following women persons with disabilities and ethnic racial groups which are in the minority in engineering such as African Americans Hispanics Native Americans Alaska Natives and Pacific Islanders .,"[""engineering"",""solicitation"",""brige""]"
nsf,2014,"NSF 14 517 Building Community and Capacity for Data Intensive Research in the Social , Behavioral , and Economic Sciences and in Education and Human Resources BCC SBE EHR",2014-3-03,https://www.nsf.gov/pubs//2014/nsf14517/nsf14517.htm,"6,000,000",As part of NSF s Cyberinfrastructure Framework for 21st Century Science and Engineering CIF21 activity the Directorate for Social Behavioral Economic Sciences SBE and the Directorate for Education and Human Resources EHR seek to enable research communities to develop visions teams and capabilities dedicated to creating new large scale next generation data resources and relevant analytic techniques to advance fundamental research for the SBE and EHR areas of research . Successful proposals will outline activities that will have significant impacts across multiple fields by enabling new types of data intensive research . Investigators should think broadly and create a vision that extends intellectually across multiple disciplines and that includes but is not necessarily limited to the SBE or EHR areas of research .,"[""research"",""ehr"",""sbe"",""data""]"
nsf,nsf12538,"NSF 12 538 Building Community and Capacity for Data Intensive Research in the Social , Behavioral , and Economic Sciences and in Education and Human Resources BCC SBE EHR",2012-5-22,https://www.nsf.gov/pubs/2012/nsf12538/nsf12538.htm,"5,000,000",As part of NSF s Cyberinfrastructure Framework for 21st Century Science and Engineering CIF21 activity the Directorate for Social Behavioral and Economic Sciences SBE the Directorate for Education and Human Resources EHR and the Office of Cyberinfrastructure seek to enable research communities to develop visions teams and capabilities dedicated to creating new large scale next generation data resources and relevant analytic techniques to advance fundamental research for the SBE and EHR sciences . Successful proposals will outline activities that will have significant impacts across multiple fields by enabling new types of data intensive research . Investigators should think broadly and create a vision that extends intellectually across multiple disciplines and that includes but is not limited to the SBE or EHR sciences .,"[""sbe"",""sciences"",""research"",""ehr""]"
nsf,nsf13519,"NSF 13 519 Building Community and Capacity for Data Intensive Research in the Social , Behavioral , and Economic Sciences and in Education and Human Resources BCC SBE EHR",2013-2-27,https://www.nsf.gov/pubs/2013/nsf13519/nsf13519.htm,"5,000,000",As part of NSF s Cyberinfrastructure Framework for 21st Century Science and Engineering CIF21 activity the Directorate for Social Behavioral and Economic Sciences SBE the Directorate for Education and Human Resources EHR and the Office of Cyberinfrastructure seek to enable research communities to develop visions teams and capabilities dedicated to creating new large scale next generation data resources and relevant analytic techniques to advance fundamental research for the SBE and EHR areas of research . Successful proposals will outline activities that will have significant impacts across multiple fields by enabling new types of data intensive research . Investigators should think broadly and create a vision that extends intellectually across multiple disciplines and that includes but is not limited to the SBE or EHR areas of research .,"[""research"",""sbe"",""ehr"",""across""]"
nsf,nsf15563,NSF 15 563 Building Community and Capacity in Data Intensive Research in Education BCC EHR,2015-9-01,https://www.nsf.gov/pubs/2015/nsf15563/nsf15563.htm,"2,500,000",As part of NSF s Cyberinfrastructure Framework for 21st Century Science and Engineering CIF21 activity the Directorate for Education and Human Resources EHR seeks to enable research communities to develop visions teams and capabilities dedicated to creating new large scale next generation data resources and relevant analytic techniques to advance fundamental research for EHR areas of research . Successful proposals will outline activities that will have significant impacts across multiple fields by enabling new types of data intensive research . Investigators should think broadly and create a vision that extends intellectually across multiple disciplines and that includes but is not necessarily limited to EHR areas of research .,"[""research"",""ehr"",""data"",""multiple"",""across""]"
nsf,nsf17532,NSF 17 532 Building Community and Capacity in Data Intensive Research in Education BCC EHR,2017-3-15,https://www.nsf.gov/pubs/2017/nsf17532/nsf17532.htm,"2,500,000",As part of NSF s Cyberinfrastructure Framework for 21st Century Science and Engineering CIF21 activity the Directorate for Education and Human Resources EHR seeks to enable research communities to develop visions teams and capabilities dedicated to creating new large scale next generation data resources and relevant analytic techniques to advance fundamental research for areas of research covered by EHR programs . Successful proposals will outline activities that will have significant impacts across multiple fields by enabling new types of data intensive research . Investigators should think broadly and create a vision that extends intellectually across multiple disciplines and that includes but is not necessarily limited to areas of research funded by EHR .,"[""research"",""data"",""ehr"",""across"",""new""]"
nsf,nsf09610,NSF 09 610 Building Engineered Complex Systems BECS,,https://www.nsf.gov/pubs/2009/nsf09610/nsf09610.htm,"4,000,000",The Directorate for Engineering ENG and the Division of Mathematical Sciences DMS in the Directorate for Mathematical and Physical Sciences MPS at the National Science Foundation NSF are collaborating in this solicitation to provide seed funding for small teams of innovative engineers and mathematical scientists mathematicians or statisticians to seek and develop a theoretical basis of complex systems with the aim of developing formal methods for the design of engineered complex systems . A complex system is characterized by its display of patterns of structure or behavior at one level of organization of the system that are diagnostic of interactions among parts of the system at other levels the emergent behaviors or structures are not evident from considering only the system s separate components . This solicitation has been motivated by the observation that many natural social and engineered systems have been recognized to be complex systems in which the traditional reductionist approach to science and engineering fails to predict and explain the patterns and behaviors that emerge from the functioning of these systems . Many engineered systems fall into this category and unexpected failures and other consequences have been experienced as these systems function near the edge of their expected performance capacity for example in power grids traffic systems critical civil infrastructures materials chemical industrial systems manufacturing and service enterprises and environmental systems . Although these unexpected behaviors can be undesirable it has also been recognized that complex systems with their ability to display emergent behaviors can be designed to be resilient and robust features that are desirable in engineered systems . The proposals submitted in response to this solicitation must meet the requirements delineated in this solicitation .,"[""systems"",""system"",""engineered"",""solicitation"",""complex"",""behaviors""]"
nsf,nsf16567,NSF 16 567 Campus Cyberinfrastructure CC,2016-8-23,https://www.nsf.gov/pubs/2016/nsf16567/nsf16567.htm,"$16,000,000 to $18,000,000",The Campus Cyberinfrastructure CC program invests in coordinated campus level cyberinfrastructure CI components of data networking and computing infrastructure capabilities and integrated services leading to higher levels of performance reliability and predictability for science applications and distributed research projects . Learning and workforce development LWD in CI is explicitly addressed in the program . Science driven requirements are the primary motivation for any proposed activity . CC awards will be supported in seven areas Data Driven Multi Campus Multi Institution Model Implementations awards will be supported at up to 3 000 000 total for up to 4 years . Cyber Team awards will be supported at up to 1 500 000 total for up to 3 years . Data Driven Networking Infrastructure for the Campus and Researcher awards will be supported at up to 500 000 total for up to 2 years . Network Design and Implementation for Small Institutions awards will be supported at up to 400 000 total for up to 2 years . Network Integration and Applied Innovation awards will be supported at up to 1 000 000 total for up to 2 years . Campus Computing awards will be supported at up to 500 000 for up to 3 years . Innovative Integrated Storage Resources awards will be supported at up to 200 000 for up to 2 years .,"[""awards"",""years"",""total"",""supported"",""campus""]"
nsf,nsf18508,NSF 18 508 Campus Cyberinfrastructure CC,2018-1-30,https://www.nsf.gov/pubs/2018/nsf18508/nsf18508.htm,"$10,000,000 to $17,000,000",The Campus Cyberinfrastructure CC program invests in coordinated campus level networking improvements innovation integration and engineering for science applications and distributed research projects . Learning and workforce development LWD in cyberinfrastructure is explicitly addressed in the program . Science driven requirements are the primary motivation for any proposed activity . CC awards will be supported in four program areas Data Driven Networking Infrastructure for the Campus and Researcher awards will be supported at up to 500 000 total for up to 2 years Network Design and Implementation for Small Institutions awards will be supported at up to 750 000 total for up to 2 years Network Integration and Applied Innovation awards will be supported at up to 1 000 000 total for up to 2 years andNetwork Performance Engineering and Outreach awards will be supported at up to 3 500 000 total for up to 4 years .,"[""awards"",""supported"",""years"",""total""]"
nsf,nsf19533,NSF 19 533 Campus Cyberinfrastructure CC,2019-2-20,https://www.nsf.gov/pubs/2019/nsf19533/nsf19533.htm,"$10,000,000 to $17,000,000",The Campus Cyberinfrastructure CC program invests in coordinated campus level networking and cyberinfrastructure improvements innovation integration and engineering for science applications and distributed research projects . Learning and workforce development LWD in cyberinfrastructure is explicitly addressed in the program . Science driven requirements are the primary motivation for any proposed activity .,"[""cyberinfrastructure"",""program"",""science"",""campus""]"
nsf,nsf20507,NSF 20 507 Campus Cyberinfrastructure CC,2020-1-21,https://www.nsf.gov/pubs/2020/nsf20507/nsf20507.htm,"$14,000,000 to $20,000,000",The Campus Cyberinfrastructure CC program invests in coordinated campus level networking and cyberinfrastructure improvements innovation integration and engineering for science applications and distributed research projects . Learning and workforce development LWD in cyberinfrastructure is explicitly addressed in the program . Science driven requirements are the primary motivation for any proposed activity .,"[""cyberinfrastructure"",""campus"",""program"",""science""]"
nsf,nsf15534,"NSF 15 534 Campus Cyberinfrastructure Data , Networking , and Innovation Program CC DNI",2015-3-24,https://www.nsf.gov/pubs/2015/nsf15534/nsf15534.htm,"$23,000,000 to $28,000,000",The Campus Cyberinfrastructure Data Networking and Innovation CC DNI program invests in campus level data and networking infrastructure and integration activities tied to achieving higher levels of performance reliability and predictability for science applications and distributed research projects . Science driven requirements are the primary motivation for any proposed activity . CC DNI awards will be made in seven areas Data Infrastructure Building Blocks DIBBs Multi Campus Multi Institution Model Implementations awards will be supported at up to 5 000 000 total for up to 5 years . Data Driven Networking Infrastructure for the Campus and Researcher awards will be supported at up to 500 000 total for up to 2 years . Network Design and Implementation for Small Institutions awards will be supported at up to 350 000 total for up to 2 years . Network Integration and Applied Innovation awards will be supported at up to 1 000 000 total for up to 2 years . Campus CI Engineer awards will be made at up to 400 000 total for up to 2 years . Regional Coordination and Partnership in Advanced Networking awards will be made at up to 150 000 for up to 2 years . Instrument Networking awards will be supported at up to 400 000 for up to two years .,"[""years"",""campus"",""awards"",""networking""]"
nsf,nsf14521,"NSF 14 521 Campus Cyberinfrastructure Infrastructure , Innovation and Engineering Program CC IIE",2014-3-17,https://www.nsf.gov/pubs/2014/nsf14521/nsf14521.htm,"$18,000,000 to $20,000,000",The Campus Cyberinfrastructure Infrastructure Innovation and Engineering CC IIE program invests in improvements and re engineering at the campus level to support a range of data transfers supporting computational science and computer networks and systems research . The program also supports Network Integration activities tied to achieving higher levels of performance reliability and predictability for science applications and distributed research projects . CC IIE awards will be made in six areas . Data Driven Networking Infrastructure for the Campus and Researcher awards will be supported at up to 500 000 total for up to 2 years . Network Design and Implementation for Small Institutions awards will be supported at up to 350 000 total for up to two years . Network Integration and Applied Innovation awards will be supported at up to 1 000 000 total for up to 2 years . Identity and Access Management Integration awards will be supported at up to 300 000 total for up to two years . Campus CI Engineer awards will be made at up to 400 000 total for up to 2 years . Regional Coordination and Partnership in Advanced Networking awards will be made at up to 150 000 for up to 2 years .,"[""awards"",""years"",""total""]"
nsf,nsf12541,NSF 12 541 Campus Cyberinfrastructure Network Infrastructure and Engineering Program CC NIE,2012-5-30,https://www.nsf.gov/pubs/2012/nsf12541/nsf12541.htm,"12,000,000",The Campus Cyberinfrastructure Network Infrastructure and Engineering CC NIE program invests in improvements and re engineering at the campus level to leverage dynamic network services to support a range of scientific data transfers and movement . The program also supports Network Integration activities tied to achieving higher levels of performance reliability and predictability for science applications and distributed research projects . Two types of CC NIE awards will be made . Data Driven Networking and Infrastructure for the Campus and Researcher awards will be supported at up to 500 000 total for up to 2 years . Network Integration and Applied Innovation awards will be supported at up to 1 000 000 total for up to 2 years .,"[""campus"",""network"",""years"",""awards""]"
nsf,nsf13530,NSF 13 530 Campus Cyberinfrastructure Network Infrastructure and Engineering Program CC NIE,2013-4-03,https://www.nsf.gov/pubs/2013/nsf13530/nsf13530.htm,"15,000,000",The Campus Cyberinfrastructure Network Infrastructure and Engineering CC NIE program invests in improvements and re engineering at the campus level to support a range of data transfers supporting computational science and computer networks and systems research . The program also supports Network Integration activities tied to achieving higher levels of performance reliability and predictability for science applications and distributed research projects . Two types of CC NIE awards will be made . Data Driven Networking and Infrastructure for the Campus and Researcher awards will be supported at up to 500 000 total for up to 2 years . Network Integration and Applied Innovation awards will be supported at up to 1 000 000 total for up to 2 years .,"[""awards"",""integration"",""program"",""campus"",""network"",""supported""]"
nsf,nsf11508,NSF 11 508 Catalyzing New International Collaborations,2011-3-01,https://www.nsf.gov/pubs/2011/nsf11508/nsf11508.htm,"2,000,000",The Catalyzing New International Collaborations program supports the participation of U . S . researchers and students in activities intended to catalyze new international collaborations .,"[""collaborations"",""international"",""new"",""supports""]"
nsf,nsf12573,NSF 12 573 Catalyzing New International Collaborations CNIC,2012-10-04,https://www.nsf.gov/pubs/2012/nsf12573/nsf12573.htm,"2,000,000",The Catalyzing New International Collaborations program supports the participation of U . S . researchers and students in activities intended to catalyze new international collaborations .,"[""collaborations"",""international"",""new""]"
nsf,nsf13605,NSF 13 605 Catalyzing New International Collaborations CNIC,2014-1-22,https://www.nsf.gov/pubs/2013/nsf13605/nsf13605.htm,"2,000,000",The Catalyzing New International Collaborations program supports the participation of US based researchers and students in activities intended to catalyze new international research collaborations .,"[""new"",""international"",""collaborations""]"
nsf,nsf04573,"NSF 04 573 CEDAR , GEM , and SHINE Postdoctoral Research",monday ; february ; annually,https://www.nsf.gov/pubs/2004/nsf04573/nsf04573.htm,"320,000",The Coupling Energetics and Dynamics of Atmospheric Regions CEDAR program the Geospace Environment Modeling GEM program and the Solar Heliosphere and INterplanetary Environment SHINE program are special programs within the Aeronomy Magnetospheric Physics and Solar Terrestrial Research programs in the Atmospheric Sciences Division of the Geosciences Directorate . These three programs each involve specific regions of the space environment and the way these regions interact . Each of the programs has its own Program Solicitation but they also have a common committment to support researchers who have recently received their Ph . D . degree allowing them to request limited support for CEDAR GEM SHINE research activities of their own devising .,"[""programs"",""program"",""environment"",""regions""]"
nsf,nsf06584,"NSF 06 584 CEDAR , GEM , and SHINE Postdoctoral Research",2007-2-05,https://www.nsf.gov/pubs/2006/nsf06584/nsf06584.htm,"320,000",The Coupling Energetics and Dynamics of Atmospheric Regions CEDAR program the Geospace Environment Modeling GEM program and the Solar Heliosphere and INterplanetary Environment SHINE program are special programs within the Aeronomy Magnetospheric Physics and Solar Terrestrial Research programs in the Atmospheric Sciences Division of the Geosciences Directorate . These three programs each involve specific regions of the space environment and the way these regions interact . Each of the programs has its own Program Solicitation but they also have a common commitment to support researchers who have recently received their Ph . D . degree allowing them to request limited support for CEDAR GEM SHINE research activities of their own devising .,"[""programs"",""program"",""regions"",""environment""]"
nsf,nsf07597,NSF 07 597 Center for Research at the Interface of the Mathematical and Biological Sciences CIMBS,2008-4-02,https://www.nsf.gov/pubs/2007/nsf07597/nsf07597.htm,"16,000,000",This solicitation requests proposals to establish a Center to stimulate research and education at the interface of the mathematical and biological sciences . The Center will serve the biological and mathematical communities by providing mechanisms to foster synthetic collaborative cross disciplinary studies . It will play a pivotal role by improving understanding and modeling of biological problems that can be gained only by using approaches of mathematical statistical and computational biology . The Center also will play a critical role in addressing national needs including the area of plant and animal infectious disease modeling and provide knowledge that will be useful to policy makers government agencies and society .,"[""center"",""mathematical"",""play"",""biological""]"
nsf,nsf03570,NSF 03 570 Center for Synthesis in Biological Evolution,2004-2-01,https://www.nsf.gov/pubs/2003/nsf03570/nsf03570.htm,"3,000,000",This solicitation requests proposals to establish a Center for Synthesis in Biological Evolution . This Center will serve the needs of the evolutionary biology community by providing mechanisms to foster synthetic collaborative cross disciplinary studies . It will play a pivotal role in the further unification of the biological sciences as it draws together knowledge from disparate biological fields to increase our general understanding of biological design and function . Finally the Center will play a critical role in organizing and synthesizing evolutionary knowledge that will be useful to policy makers government agencies educators and society .,"[""biological"",""center"",""evolutionary"",""role"",""knowledge""]"
nsf,nsf07590,NSF 07 590 Center for the Environmental Implications of Nanotechnology CEIN,2008-3-17,https://www.nsf.gov/pubs/2007/nsf07590/nsf07590.htm,"5,000,000",This solicitation requests proposals to create a national Center to conduct fundamental research and education on the implications of nanotechnology for the environment and living systems at all scales . The Center will address interactions of naturally derived incidental and engineered nanoparticles and nanostructured materials devices and systems herein called nanomaterials with the living world . Essential elements of this Center will include understanding the interactions of nanomaterials with organisms cellular constituents metabolic networks and living tissues understanding environmental exposure and bioaccumulation and their effects on living systems and determining the biological impacts of nanomaterials dispersed in the environment . Additional elements of the Center may include the development of methods and instrumentation for the detection and characterization of nanomaterials . For the purpose of this solicitation nanomaterials have at least one dimension with a length of approximately 1 to 100 nm . A multidisciplinary research approach involving the biological chemical physical computational mathematical social and behavioral sciences will be needed to understand the fundamental processes associated with the interaction of nanomaterials with the environment and living systems . This Center is expected to interact with other Nanotechnology Science and Engineering Centers as appropriate .,"[""nanomaterials"",""center"",""living"",""systems""]"
nsf,nsf09597,NSF 09 597 Centers for Chemical Innovation CCI,2009-10-21,https://www.nsf.gov/pubs/2009/nsf09597/nsf09597.htm,"7,000,000",The Centers for Chemical Innovation CCI Program supports research centers focused on major long term fundamental chemical research challenges . CCIs that address these challenges will produce transformative research lead to innovation and attract broad scientific and public interest . CCIs are agile structures that can respond rapidly to emerging opportunities and make full use of cyberinfrastructure to enhance collaborations . CCIs may partner with researchers from industry government laboratories and international organizations . CCIs integrate research innovation education and public outreach and include a plan to broaden participation of underrepresented groups . The CCI program is a two phase program . Both phases are described in this solicitation . Phase I CCIs receive significant resources to develop the science and integrative elements of a CCI before requesting Phase II funding . Phase I proposals funded in FY2010 will seek Phase II funding in FY2013 . Only organizations receiving Phase I awards in FY2007 are eligible to request Phase II funding in FY2010 .,"[""ccis"",""phase"",""research""]"
nsf,nsf10585,NSF 10 585 Centers for Chemical Innovation CCI,2010-10-11,https://www.nsf.gov/pubs/2010/nsf10585/nsf10585.htm,"7,000,000",The Centers for Chemical Innovation CCI Program supports research centers focused on major long term fundamental chemical research challenges . CCIs that address these challenges will produce transformative research lead to innovation and attract broad scientific and public interest . CCIs are agile structures that can respond rapidly to emerging opportunities and make full use of cyberinfrastructure to enhance collaborations . CCIs may partner with researchers from industry government laboratories and international organizations . CCIs integrate research innovation education and public outreach and include a plan to broaden participation of underrepresented groups . The CCI program is a two phase program . Both phases are described in this solicitation . Phase I CCIs receive significant resources to develop the science and integrative elements of a CCI before requesting Phase II funding . Phase I proposals funded in FY2011 will seek Phase II funding in FY2014 . Only organizations receiving Phase I awards in FY2008 are eligible to request Phase II funding in FY2011 .,"[""phase"",""research"",""ccis"",""cci""]"
