,names,descriptions,titles,research
81,"Jabbari, Esmaiel","Professor, Chemical Engineering, Biomedical Engineering",Faculty,"['Biomaterials, Tissue Engineering, Protein Delivery']"
82,"Jabbarzadeh, Ehsan","Professor, Chemical & Biomedical Engineering",Faculty,"['Swearingen Room 3C15301 Main Street Columbia , SC 29208The overarching theme of our research is the robust design and engineering of tissues through understanding and modeling of the environmental effects on stem cell differentiation and tissue remodeling and development . We are engineering microenvironments based on carbon nanotube arrays with finely controllable biophysical and biochemical properties for the investigation of molecular mechanisms associated with cell migration , proliferation and differentiation . Investigations in the lab revolve around how cells sense distinctive types of mechanical , biochemical and morphological cues and integrate them to generate an appropriate response . This work is complemented by a parallel effort to construct a single cell based mathematical model of intercellular signaling events that are linked to signaling outputs associated with fate commitment . In addition , our laboratory is actively pursuing the development of biomaterials that recapitulate the key characteristics of natural extracellular matrix for applications in bone and vascular tissue engineering . Yanez , J . Blanchette , E . Jabbarzadeh , Modulation of Inflammatory Response to Implanted Biomaterials Using Natural Compounds , Current Pharmaceutical Design , In Press .']"
83,"Jalilvand, Golareh",Research Assistant Professor,Faculty,"['Dr . Golareh Jalilvand is a Research Assistant Professor of the Chemical Engineering department at the University of South Carolina UofSC . She received her B . Sc . , M . Sc . and Ph . D . in Materials Science and Engineering prior joining the UofSC as a research faculty . During the course of her Ph . D . , She was the graduate research assistant in the Microelectronics Fabrication and Reliability lab at the University of Central Florida , where she worked on through silicon and glass via TSV TGV based 3D integration , thermo mechanical reliability of solder joints , and novel materials for interconnection , heterogeneous integration and packaging in micro nano electronics . Dr . Jalilvand s contributions to the field of thin films for 3D integrated microelectronics has been recognized in several national and international platforms . Prior to her research on microelectronics , she focused on thin films for solid oxide fuel cells and energy conversion for a green paradigm , where she studied new interconnect materials . Dr . Jalilvand s research interests include microstructure property relationships in interconnects for 3D integrated circuits 3D ICs . Assisted by machine learning methods developed through a collaboration with the department of Computer Science and Engineering of UofSC , she is currently working on microstructure optimization via unique electroplating techniques to enhance the reliability of 3D IC interconnects .']"
84,"Jamshidi, Pooyan ","Assistant Professor, Computer Science and Engineering",Faculty,"['Machine Learning Systems, Autonomic Computing, Computer Systems, Adversarial Machine Learning, Artificial Intelligence']"
85,"Kanapala, Neema ","Instructor, Computer Science and Engineering",Faculty,['Neema Kanapala teaches various undergraduate courses .']
86,"Karakalos, Stavros G.",Research Assistant Professor,Faculty,"['Understanding the reaction mechanism of various heterogeneous catalytic processes is of fundamental importance for our group . The main goal of a catalyst is to increase the rate of a reaction . This is achieved by creating new energetic pathways for the reaction , through the interaction of the catalyst and the reactants . The interaction can lead to new intermediates and lower activation energies . To this end , the study of model systems is important in order to draw safe conclusions . Important information derived from the study of model catalysts is that a surface can undergo structural and electronic changes during the reaction . The use of efficient techniques under Ultra High Vacuum and the in situ study of catalysts is more than a necessity . In our group we use X Ray and Synchrotron Radiation Photoelectron Spectroscopy XPS , SRPES , NAP XPS , X Ray induced Auger Electron Spectroscopy XAES , Ultra Violet Photoelectron Spectroscopy UPS , Temperature Programmed Desorption TPD , TPRS , Secondary Ion Mass Spectroscopy SIMS and in situ Catalytic treatments , to determine the structure , composition and electronic properties of the outermost atomic layers of solid materials .']"
87,"Karakchi, Rasha",Instructor,Faculty,"['Heterogeneous Computing, FPGA overlay, Data Analytics, Special-Purpose processors']"
88,"Khan, Asif","Professor, Carolina Distinguished Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A26301 Main StreetColumbia , SC 29208']"
89,"Khan, Jamil   A.",Director of College Faculty Affairs,Faculty,"['Dr . Khan s research interest include modeling of manufacturing processes , temperature distribution during machining , heat transfer and fluid flow with phase change solidification melting in casting , welding , computational and experimental fluid dynamics related to contaminants transport in rooms , heat transfer in porous media , micro channel heat transfer , thermodynamic analysis of IC Engines , CFD analysis of combustion processes etc .']"
90,"Kidane, Addis ","Associate Professor, Mechanical Engineering",Faculty,"['Multifunctional Materials, Dynamic behavior of Materials, Digital Image correlation']"
91,"Knight, Travis W.","Interim Chair and Professor, Mechanical Engineering",Faculty,"['Dr . Knight s research and interests are in the areas of Advanced nuclear fuels and materials , Nuclear safeguards , Nuclear fuel cycle , Alternative uses of nuclear power including hydrogen , space nuclear power and propulsion .']"
92,"Koppel, Tarmo",Postdoctoral Researcher,Staff,"['Tarmo Koppel s research topics include AI applications in business virtual assistants chatbots , decision support , productivity enhancement , industry 4 . 0 , Internet of things IoT , smart manufacturing , smart workplaces , sensor networks , remote sensing , health and safety monitoring , threat assessment and risk management and other .']"
93,"Lauterbach, Jochen","Professor, Chemical Engineering",Faculty,"['Heterogeneous catalysis, CO2 conversion, high-throughput screening, machine learning, ammonia decomposition and synthesis']"
94,"Lee, Dongkyu",Assistant Professor,Faculty,"['Oxide electrocatalysis, Nanostructured oxides, Energy applications']"
95,"Lessner , Susan M.","Associate Professor, School of Medicine",Faculty,"['School of Medicine Bldg 1 Room C 38 6439 Garners Ferry Road Columbia , SC 29209Dr . Lessner s work focuses on the vascular biology and biomechanics of atherosclerosis , with an emphasis on mechanical failure plaque rupture and intraplaque angiogenesis . Atherosclerotic plaque rupture is a leading cause of acute cardiovascular events such as heart attack and stroke . Evidence suggests that plaque rupture results from an adverse interaction between biomechanical and biological factors . Our research focuses on understanding the interplay between both these types of factors , in order to develop methods to reduce the incidence of plaque rupture . On the biological side , we are particularly interested in intraplaque angiogenesis , or new blood vessel growth , as a destabilizing factor in plaque progression . We use transgenic mouse models and human endarterectomy specimens to examine the relationships between mechanical loading environment , matrix organization , and mechano sensitive gene expression . On the biomechanics front , we study micromechanics of arterial tissue failure in plaque rupture and arterial dissection , and we aim to develop methods to identify patients at elevated risk of acute cardiovascular syndromes where material failure plays a major role . We use both experimental and computational approaches to understand artery wall failure mechanisms . I collaborate with faculty in Mechanical Engineering at UofSC , together with vascular surgeons at Greenville Hospital , Palmetto Health , and MUSC .']"
96,"Lewis, Jeremy ","Instructor, Computer Science and Engineering",Faculty,['Jeremy Lewis teaches various undergraduate courses .']
97,"Li, Chen ","Professor, Mechanical Engineering",Faculty,"['Dr . Li s research interest are micro nano scale two phase heat and flow physics , prediction , control and modeling . Aim at basic research in developing and verifying theories for two phase transport behaviors and the application of these theories towards controlling two phase heat and flows at micro nano scale .']"
98,"Liu, Chang","Assistant Professor, Chemical Engineering, Biomedical Engineering",Faculty,"['Project 1 Point of care diagnostics for resource limited settings . Nanopores are capable of ultrasensitive quantitation of single proteins peptides , and thus permit monitoring of low abundance circulating biomarkers . The goal of this project is to develop a portable in vitro diagnostics assay using Nanopore technology for rapid diagnosis and treatment monitoring of infectious diseases e . g . Tuberculosis , HIV in resource limited and high burden areas . For future clinical translation , we are working with clinicians to validate the assay s performance on 1 detection of active Tuberculosis and 2 risk assessment of HIV maternal fetal transmission . Project 2 Translational biomarkers and biosensors to enable personalized medicine . Most cell types abundantly secrete extracellular vesicles EVs , including tumor cells that usually show increased EV secretion levels . Similar to cells , EVs are composed of a lipid bilayer and can contain all the molecular components of a cell , such as proteins , lipids , RNA and DNA fragments that reflect the phenotypic state of their cell of origin . These biomolecules are excellent candidates for diagnostic and prognostic biomarkers . Our work has been focused on isolation of circulating EVs using nanomaterials and microfluidics based technologies , and identification of novel proteomics genomics biomarkers inside them to enable early detection and personalized treatment regimens for cancer patients . Project 3 Nanostructure based tools for fundamental biochemical studies . Generic biosensing platforms for fundamental biochemical studies can inform medical and pharmaceutical research . We are developing nanostructure based localized surface plasmon resonance LSPR biosensors to study biomolecule interactions . Nanostructures covered with lipid bilayers can mimic bacteria cell membranes , possess similar two dimensional fluidity , and be readily engineered to contain specific lipids and proteins . LSPR signal from such nanostructures can indicate the binding kinetics of biomolecules and lipid bilayers , with potential applications for drug development and drug resistance studies .']"
99,"Loiselle, Val","Adjunct Professor, Mechanical Engineering",Faculty,"['Professor Loiselle s research and interests include nuclear engineering , environmental remediation , emphasis on waste management and disposal of EPA pond closures and metal recycle manufacturing .']"
100,"Luo, Lannan ","Assistant Professor, Computer Science and Engineering",Faculty,"['Sofware and Systems Security, Mobile Security, Software Engineering, Programming Language, Deep Learning']"
101,"Lyons, Jed ",Senior Associate Dean for Academic Affairs,Faculty,"['As the Senior Associate Dean for Academic Affairs , Dr . Lyons directs undergraduate recruitment , retention , and graduation activities . He provides college oversight for academic programs at all levels , manages academic resources and assessment services , directs K 12 outreach activities , and is part of the college s communications and marketing team . His research includes engineering education and engineering materials . Jed Lyons received his PhD in Mechanical Engineering from the Georgia Institute of Technology . In 1990 , he joined the University of South Carolina as an Assistant Professor in the Department of Mechanical Engineering , where he advanced to full Professor and served as Mechanical Engineering Undergraduate Director . In 2004 , he helped create a university wide Center for Teaching Excellence , where he served as the first Faculty Director from 2006 to 2012 . Lyons was appointed as the Associate Dean for Academic Affairs in the College of Engineering and Computing in 2012 and promoted to Senior Associate Dean in 2017 . Lyons was elected as a Fellow of the American Society for Engineering Education ASEE in 2009 . He was a founding member of the K 12 Engineering Division of ASEE , and has served as Chair and Executive Committee member of this Division . Lyons has also served the Mechanical Engineering Division of ASEE as Executive Committee Member , Secretary , Program Chair , and Division Chair . Lyons scholarship in the areas of mechanical engineering and engineering education includes over 8M in funded research and implementation projects . He has mentored over 200 research assistants , teaching assistants , teaching fellows and K 12 teacher researchers . In addition to ASEE Fellow status , Lyons works as an engineering educator has been recognized with Georgia Tech s Outstanding Young Alumni award 1996 . UofSC awards include the Michael J . Mungo Undergraduate Teaching award 2003 , Bedenbach Distinguished Service award 2006 , Litman Distinguished Professor award 2004 , and Educational Foundation Award for Outstanding Faculty Service 2019 . Lyons is a registered Professional Engineer in the State of South Carolina .']"
102,"Mandal, Krishna","Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A38301 Main StreetColumbia , SC 29208']"
103,"Matolak, David","Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A28301 Main StreetColumbia , SC 29208']"
104,"Matta, Fabio","Graduate Director, Civil and Environmental Engineering",Faculty,"['Dr . Matta s team conducts experimental and theoretical research on construction materials and their structural performance , ranging from affordable and high quality earth masonry to advanced cement and polymer matrix composites , with an emphasis on extreme stressors . Areas of interest include affordable and high quality dwelling structures for hazard mitigation strengthening and repair of civil structures multi scale and multi functional reinforcement for cement composites and concrete load testing , monitoring and assessment of constructed facilities and corrosion in steel and concrete structures . Research sponsors include the National Science Foundation , the US Department of Energy , the National Institute of Standards and Technology , and industry .']"
105,"Matthews, Catherine","Instructor, Computer Science & Engineering",Faculty,['Instructor for CSCE 101 and 102 classes .']
106,"Matthews, Manton M","Professor, Computer Science & Engineering ",Staff,"['Graph Theory, Security, Natural language processing']"
107,"Matthews, Michael A.",Associate Vice President for Research | Senior Associate Dean for Research and Graduate Programs,Faculty,"['Professor Mike Matthews obtained his Ph . D . in 1986 from Texas A M University . He joined the University of South Carolina in 1994 . He teaches and conducts research in the broad field of thermodynamics , with projects related to hydrogen storage in chemical hydrides , biomedical engineering , and green chemistry . He has raised over 10M in research funding and has published approximately 70 journal papers . He has served as department chair , associate dean , and chair of the Industrial and Engineering Chemistry Division of the American Chemical Society ACS . Currently he serves on the Committee on Environmental Improvement of ACS . He is a Fellow both of the American Chemical Society and the American Institute of Chemical Engineers . Two major research thrusts are underway in his group . The first deals with applications of supercritical carbon dioxide for biomedical applications . Funding from the National Institute of Biomedical Imaging and Bioengineering has focused on development of novel technology for sterilization and disinfection of synthetic and natural biomaterials . Funding from the National Institute of Environmental Health Sciences is aimed at abatement of indoor allergenic proteins and other respiratory hazards . Dr . Matthews founded CarboNix LLC with the aid of three SBIR grants from the NIEHS . The second thrust is in utilization of chemical hydrides as a hydrogen storage medium , with application in PEM fuel cells . Funding from NSF and DOE has led to expanded understanding of the role of deliquescence in the reaction between water vapor and sodium borohydride . In addition , improved understanding of the hydration states of the reaction products is important in decreasing the total water utilization in this reaction .']"
108,"McAnally, A. Steve",Associate Professor,Faculty,"['Dr . McAnally s research interests focus on water and wastewater treatment , particularly appropriate technology applications for developing communities . Recent research projects include optimization studies for potable water production using low cost portable water treatment units . Other research areas include water treatment for heavy metals removal and corrosion control , industrial waste minimization , constructed wetland applications for industrial and municipal wastewater treatment and education reform in civil and environmental engineering .']"
109,"McCants, Dale ","Instructor, Mechanical Engineering",Faculty,"['Dr . McCants research interests include nanofluids heat transfer mechanics , electronics thermal management , experimental and computational fluid dynamics with heat transfer .']"
110,"McNeill, Stephen ","Associate Professor, Mechanical Engineering",Faculty,"['Dr . McNeill s research and interests include computer vision , digital image correlation , microprocessors , experimental mechanics and reverse engineering .']"
111,"Meekins, Benjamin H.",Research Assistant Professor,Faculty,"['Solar energy, hydrogen generation, solid state electrochemistry, electrochemistry, photoelectrochemistry']"
112,"Mobli, Mostafa",Instructor,Faculty,"['Interested in numerical solutions to problems involving reactive flows and heat transfer . Focused on developing new numerical methods and applying previously developed methods to analyze a wide range of fluid flow and heat transfer applications . Specially focused on continuous methods to simulate phase change on a micro nano scale used in various cooling industries , and thermal analysis of glow discharge to show importance of an accurate temperature analysis in glow discharge simulations .']"
113,"Monnier, John R.","Professor, Chemical Engineering",Faculty,"['Swearingen Engineering CenterRoom 3C04301 Main StreetColumbia , SC 29208Ph . D . , University of Wisconsin Milwaukee , 1978M . S . , University of Wisconsin Milwaukee , 1972B . S . , St . Ambrose University , 1970My research group focuses on heterogeneous catalysis , ranging from rational catalyst design and synthesis to characterization and evaluation . Current interests are in the design and synthesis of novel bimetallic catalysts for the selective transformation of hydrocarbons to higher value chemicals and for higher output PEM fuel cells . Bimetallic catalysts afford great opportunities for changing performance , either by changing the catalyst surfaces into ensembles of catalytic sites that permit only selected reaction pathways , modifying the electronic properties of the catalytic surface sites , or by introducing bifunctionality to the active surface by placing different catalytic metals in contiguous proximity . Bimetallic catalyst synthesis is often carried out by either simultaneous co impregnation of both metal salts onto the catalyst support or by successive steps of metal salt addition . For either of these preparative methods , it is virtually impossible to ensure formation of only bimetallic particles rather , formation of separate metallic particles of both metals can and does occur . Thus , it is very difficult to characterize such catalytic systems , and even more difficult to correlate catalyst performance with bimetallic catalyst composition . Our laboratory uses electroless deposition ED , whereby a controlled chemical reaction is used to deposit a metal salt onto a catalytic metal site that has been activated by a reducing agent . The process may be either catalytic deposition of the metal salt metal A from solution onto the pre existing metal metal B on the support or autocatalytic deposition of the metal salt metal A onto the just reduced , deposited metal metal A , depending on the nature of the activated metal site and the reducing agent . In principle , ED should result in the selective deposition of the secondary metal onto a metallic surface with no formation of isolated crystallites of the secondary metal on the catalyst support . Perhaps most importantly , ED is an industrially relevant process that can be applied to a wide range of metals . We have prepared a large number of bimetallic catalysts using electroless deposition . Those supported on carbon , such as Pt Co , Pt Pd , and Pt Rh have been tested as electrocatalysts for PEM fuel cells , while silica supported compositions such as Ag Pt , Au Pd , and Cu Pd have been evaluated for traditional catalytic reactions such as selective epoxidation of olefins , selective oxidation of biomass molecules such as glycerol , and selective hydrogenation of multi functional olefins . Reactions are conducted in either automated , single pass plug flow reactors six in all or two high pressure batch or stirred tank reactors . Our research projects are currently funded by NSF , DOE , and several industrial companies .']"
114,"Morehouse, Jeff ",Associate Professor Emeritus,Faculty,"['Dr . Morehouse and his students have investigated a broad range of thermodynamic heat engine applications , ranging from space based fuel cell power systems to ground coupled heat pumps to phase change storage systems . Dr . Morehouse has long been associated with solar energy system design and analysis and is currently involved in a conventional HVAC control project and with evaporative system applications in humid climates .']"
115,"Moss, Melissa Ann",Department Chair of Chemical Engineering,Faculty,"['Swearingen301 Main StreetRoom 3C15Columbia , SC 29208Professor Moss s research focuses on the involvement of protein aggregation in Alzheimer s disease . One hallmark of Alzheimer s disease is the senile plaques that accumulate in the brain where they are associated with neuronal loss and in the cerebrovasculature where they may perpetuate stoke . These plaques are composed primarily of the amyloid protein A . A aggregates into fibrils that deposit to yield plaques . Consequently , inhibition of A aggregation has emerged as one therapeutic approach for Alzheimer s disease . The focus of our research is to understand this aggregation process and to identify and characterize inhibitors that attenuate A aggregation . We utilize a myriad of biophysical techniques including chromatography , fluorescence spectroscopy , static and dynamic light scattering , Western blotting , dot blotting , electron microscopy , and atomic force microscopy . Furthermore , we seek to determine how various A aggregation products affect both neuronal and vascular cells . In particular , we are interested in Ab stimulation of neuronal apoptosis and endothelial inflammatory responses , including NF kB activation . Correlating changes in Ab aggregation with cellular effects will assist research efforts to design effective therapeutic agents for Alzheimer s disease therapy .']"
116,"Mullen, Robert L",Professor,Faculty,"['Room C118300 Main St . Columbia , SC 29208T Tr 1 00 pm 2 00 pm']"
117,"Mustain, William E","Professor, Chemical Engineering",Faculty,"['Electrocatalysis, Batteries, Synthesis, Electrochemical Engineering']"
118,"Nelakuditi, Srihari","Professor, Computer Science & Engineering",Faculty,"['Computer Networking, Wireless Networking, Mobile Computing']"
119,"Nezhad, Cyrus Riahi",Senior Instructor,Faculty,"['300 Main Street Room A 113Columbia , SC , 29208Dr . Riahi Nezhad s broad areas of specialization are based on innovative combinations of fluid mechanics , separation science , and heterogeneous catalysis . These include 1 Separations enhanced by electric fields including electro mixing , drop electro coalescence with applications in biofuel production , radioactive waste treatment , and tannery waste water treatment , 2 High liquid flow in packed towers for optimal gas liquid phase interaction , 3 Synthesis and characterization of mesoporous heterogeneous catalysts for oxidative destruction of volatile organic compounds with applications in automotive exhaust emission control , 4 Application of nano catalysts for hydrogen production using water gas shift reaction , 5 Gas engine driven air conditioning GEDAC for heating and cooling , 6 Hydraulic and fluid mechanics utilizing experimental and numerical analyses with applications that include flow through a breached levee and during levee closure .']"
120,"O'Kane, Jason","Professor, Associate Chair of Academics, Computer Science & Engineering",Faculty,['Robotics']
121,"O'Reilly, James","Instructor, Computer Science and Engineering",Faculty,['James O Reilly teaches various undergraduate courses .']
122,"Ortiz-Hernandez, Ivelisse","Instructor, Chemical Engineering College of Engineering and Computing",Faculty,"['Ph . D . , University of South Carolina , 2006B . Ch . E . , University of Puerto Rico , 2000Dr . Ortiz Hernandez background involves the study of heterogeneous catalytic systems under reaction conditions . Her research interest involves the development and characterization of new catalytic materials with applications in environmental and alternate energy systems . She is also interested in the use of analytical instrumentation techniques for the characterization of materials and the study of chemical reactions . Her experience involves the teaching and developing of new curriculums in the area of chemical engineering and chemical technology .']"
123,"Pain, Christopher C.","Adjunct Professor, Mechanical Engineering",Faculty,"['Dr . Pain is a Professor in the department of Earth Science and Engineering at Imperial College London ICL , UK . He is also head of the Applied Computation and Modelling Group AMCG , which is the largest research grouping at ICL and comprises of about 60 research active scientists . AMCG specialises in the development and application of innovative and world leading modelling techniques for earth , engineering and biomedical sciences . The group has core research interests in numerical methods for ocean , atmosphere and climate systems , engineering fluids including multiphase flows , neutral particle radiation transport , coupled fluids solids modelling with discrete element methods , turbulence modelling , inversion methods , imaging , and impact cratering . He was honored by Imperial College London by winning its Research Excellence Award in 2010 , in recognition his world leading research . Dr . Pain s academic interests are in general Computational Fluid Dynamics including multi phase flow , oceanography and geophysical fluid dynamics , nuclear safety , optimisation , numerical research , including parallel solution techniques , recurrent and feed forward neural networks , a priori error measures and mesh adaptivity , discretization techniques , resolution of linear and non linear equations , non linear dynamics , numerical shape description and differential geometry . He is the original author of general purpose parallel Computational Fluid Dynamics code Fluidity a foundation of the majority of his research activities and key to this proposal , with mesh adaptive multi phase and ocean modelling features . Inverse modelling has included anisotropic electrical inversion , 3D seismic inversion and inversion of transient 3 D coastal flows using the adjoint method . He has authored over 133 journal publications , 2 book chapters , 1 patent , graduated 34 PhD students and completed 41 industry and research council grants .']"
124,"Patel, Chandrashekhar","Research Associate Professor, School of Medicine, Biomedical Engineering",Faculty,"['School of Medicine Bldg 1 Room B 34 6439 Garners Ferry Road Columbia , SC 29209Dr . Patel s research interests include molecular regulation of vascular endothelial and smooth muscle cells .']"
125,"Paul, Titan C.","Instructor, Department of Mechanical Engineering",Faculty,"['Dr . Paul s research interest includes Energy storage liquid for solar technologies , Heat transfer with phase change , Numerical methods in conjugate heat and mass transfer problem , Thermal management of microelectronics , and Heat transfer and moisture migration problems in building environment .']"
126,"Peters, Wally ","Distinguished Professor Emeritus, Mechanical Engineering",Faculty,['Dr . Peters research and interests include Complex Systems Study and Design .']
127,"Plante, Portia","Instructor, Computer Science and Engineering",Faculty,['Portia Plante teaches various undergraduate courses .']
128,"Popov, Branko N.","Carolina Distinguished Professor, Chemical Engineering",Faculty,"['Swearingen Engineering CenterRoom 2C19301 Main StreetColumbia , SC 29208CV of Dr . PopovPopov s Readership WorldwidePh . D . , University of Zagreb , Croatia , 1972M . S . , University of Illinois , 1969B . S . , University Kiril and Metodij , Skopje , Macedonia , 1965']"
129,"Potts, Jay","Associate Professor, School of Medicine, Biomedical Engineering",Faculty,"['School of Medicine Bldg 1 Room C 50 6439 Garners Ferry Road Columbia , SC 29209The prevalence of congenital cardiac malformations places an extreme sociological and personal burden . There are a myriad of congenital cardiac defects but the majority involve a region known as the atrioventricular canal AV . The AV canal is responsible for the production of the AV valves and membranous portion of the interventricular septum . This is accomplished through a process known as epithelial mesenchymal cell transformation . Understanding how the early heart and in particular the AV canal is formed is critical to building the foundation for future therapeutic measures . Norris , RA , Potts , JD , Yost , MJ , Junor , L , Brooks , T , Tan , H , Hoffman , S , Hart , MM , Damon , B , Markwald , RR , Goodwin , RL . 2009 . Periostin promotes a fibroblastic lineage pathway in atrioventricular valve progenitor cells . Dev . Dyn . 238 1052 1063 .']"
130,"Qian, Yu",Assistant Professor,Faculty,"['Dr . Yu Qian has been working on transportation geotechnics and railroad infrastructure related research , mainly focusing on heavy haul and transit track structures , high speed rails , pavements , geosynthetics , and discrete element simulation . He is currently serving as a committee member for three TRB Committees , two AREMA Committees , and the ASCE Rail Transportation Committee .']"
131,"Ranson, Bill ","Distinguished Professor Emeritus, Mechanical Engineering",Faculty,"['Dr . Ranson s research and interests include scale invariant computer vision applications to the measurement of mechanical systems , mathematical modeling of mechanical systems measurements to the systems life predictions application of technology to learning systems .']"
132,"Regalbuto, John R.","Professor, Chemical Engineering",Faculty,"['Swearingen Engineering CenterRoom 3C13301 Main StreetColumbia , SC 29208Ph . D . , University of Notre Dame , 1986 . M . S . , University of Notre Dame , 1983 .']"
133,"Regan, Elizabeth A.",Department Chair and Professor / Integrated Information Technology,Faculty,"['Innovation Center550 Assembly Street , Suite 1300Office 1310Columbia , SC 29208Ph . D . , University of ConnecticutM . A . , B . S . , A . S . , University of ConnecticutDr . Elizabeth Regan is chair of the Department of Integrated Information Technology and associate professor of Health Information Technology at the University of South Carolina . She is also an adjunct professor in the Arnold School of Public Health . Prior to joining USC in July 2011 , she served as chair of the Department of Information Systems , College of Business , at Morehead State University , Kentucky , for 11 years , and as the Elmer and Donna Smith Endowed Chair in Health Systems Management for two years . She serves on the Board of Directors for the Northeast Kentucky Regional Health Information Organization NeKY RHIO , of which she is a founding member and first board chair . The RHIO also serves as the Regional Extension Center for Eastern Kentucky . Dr . Regan served five years on the Coordinating Council for the Kentucky State Health Information Exchange and on the faculty of the University of Kentucky Medical School Rural Physician Leadership program . She was recently appointed to the national HIMSS Innovation Committee .']"
134,"Reifsnider, Kenneth ","Emeritus Professor, Mechanical Engineering",Faculty,"['Dr . Reifsnider s research and interests include durability , damage tolerance and strength life relationships in material systems performance of life prognosis , aging , material state changes , long term behavior fuel cell science and engineering .']"
135,"Rekleitis, Ioannis","Associate Professor, Computer Science & Engineering",Faculty,"['Marine Robotics, Perception, Coverage, Cooperative Localization, SLAM']"
136,"Reynolds, Tony ","Professor, Mechanical Engineering",Faculty,"['Dr . Reynolds research and interests include friction stir welding , fatigue and fracture , experimental micro mechanics , quantitative fractographic analysis .']"
137,"Rhodes, Curtis ","Distinguished Professor Emeritus, Mechanical Engineering",Faculty,"['Dr . Rhodes research and interests include computer aided design , engineering and manufacturing , computational fluid dynamics .']"
138,"Ritter, James A.",Carolina Distinguished Professor,Faculty,"['separations, adsorption, magnetic drug targeting, materials, electrochemistry']"
139,"Rizos, Dimitris","Director, Railway Engineering Graduate Certificate",Faculty,"['His areas of interest are in Structural Mechanics with emphasis on Railway and Highway Infrastructure , High Speed Rail Systems , and Civilian and Military Bridges . Dr . Rizos expertise is in the area of structural mechanics and modeling with emphasis on i Development and implementation of computational methods BEM , FEM , DEM , Hybrid Methods for problems in wave propagation , soil structure interaction , structural dynamics , and transient analysis of multi phase media , such as the train rail trackbed soil interaction problems ii Analysis and Design of freight , passenger and High Speed Railway infrastructure bridges , tunnels , tracks , etc iii Bridge Engineering and High Performance Materials for civilian and military applications .']"
140,"Roberts, Elwyn","Visiting Professor, Mechanical Engineering",Faculty,"['Dr . Robert s research and interests include materials performance in nuclear reactors , product design , manufacturing and concurrent engineering .']"
141,"Roberts, Kenneth L","Instructor, Chemical Engineering",Faculty,"['Nanomaterials, Catalysis, Fluid Transport Properties']"
142,"Rocheleau, David ","Associate Professor, Department of Mechanical Engineering",Faculty,"['Dr . Rocheleau s group has interest in machine design and machine component design . His group has done work in optimizing the design of epicyclic gear trains to ensure long life and reduced noise . Work has also been done in helping small to medium size companies in a wide area of product design issues . The design concepts are modeled using Pro ENGINEER design software and analyses are performed with a variety of computer aided engineering tools . His group has done work in the modeling of balance of plants in a PEM fuel cell system . Overall design issues involving kinematic and dynamics of mechanisms , from robots to prosthetic devices , have also been performed . Dr . Rocheleau holds several patents , primarily in new product innovation devices .']"
143,"Rose, John R. ",Professor,Faculty,"['I am currently a member of IEEE . I am the author of over 50 technical papers in bioinformatics , machine intelligence , and computational science . My research interests are in the areas of bioinformatics , normative reasoning and planning , DAI and multiagent systems , and computational chemistry . I have conducted research funded by NSF , NIH , NASA , DOD ONR , Alexander von Humboldt Foundation , BMFT German NSF equivalent , as well as the South Carolina Commission on Higher Education . I have been a NASA Institute for Advanced Concepts NIAC Fellow . I was formerly the Director of the SC INBRE Bioinformatics Core . A major new focus of my research group is de novo peptide sequencing . We have recently received NSF funding to support this effort .']"
144,"Sabalowsky, Andrew", Instructor,Faculty,"['Dr . Sabalowsky s prior research expertise are in anaerobic processes , specifically as they relate to bioremediation of hazardous xenobiotic molecules and biofuel production , such has methane and hydrogen production , microbial fuel cells , and fermentable products . More recently , his interests are in renewable energy technology centered on fluid flow , such as wave attenuation , micro wind turbines , and solar chimneys .']"
145,"Sadati, Monirosadat (Sanaz)",Assistant Professor,Faculty,"['Assistant Professor , University of South Carolina , January 2019 Postdoctoral Associate , The University of Chicago , 2014 2018 Postdoctoral Associate , Harvard , 2012 2014 PhD , Materials Science , ETH Zurich , 2012 BS and MS , Polymer Engineering , Amirkabir University of Technology , 2003The Sadati lab will pursue a bottom up approach to study the structure , dynamics , and self assembly of soft materials , with an emphasis on anisotropic components capable of leading to new , tunable macroscopic properties . Through systematic studies of self assembly , topological defects , and real time structure and rheology , we will engineer responsive materials with unique architectural features designed for a broad range of applications including tissue engineering , actuation , drug delivery , controlled cargo transport , and biosensing . A common feature among natural microswimmers such a bacteria is the ability to convert energy to motion and regulate their self propulsion in response to external stimuli . Inspired by the biomechanics of nature , artificial active micromotors are being developed that can transduce the local energy to directed motion and to propulsion . These artificial micromotors have been envisioned for a broad range of applications such as drug loading , controlled release in the vicinity of cells , and water remediation to name a few . In many of these applications , these micromotors have to move in a complex environment . We will explore the micro rheology of microswimmers in complex environments to design autonomous micromachines that can navigate efficiently in realistic condition of operations .']"
146,"Sahin, Alphan ",Assistant Professor,Faculty,"['Wireless communications, Signal processing']"
