,meal_name,categories
458,Samosas Light (m459),"{'Main Course', 'Appetizer'}"
459,Mousse Light (m460),"{'Breakfast Item', 'Dessert'}"
460,Chocolate Mousse Special (m461),{'Dessert'}
461,Chicken Teriyaki Deluxe (m462),{'Main Course'}
462,Burger Light (m463),{'Main Course'}
463,Beef Stroganoff Mild (m464),"{'Main Course', 'Dessert'}"
464,Cookies Mild (m465),{'Dessert'}
465,Mediterranean Salad Special (m466),"{'Salad', 'Breakfast Item'}"
466,Cobbler (m467),"{'Main Course', 'Dessert'}"
467,Tiramisu (m468),"{'Main Course', 'Dessert'}"
468,Danish Spicy (m469),"{'Breakfast Item', 'Side'}"
469,Cobb Salad Light (m470),"{'Salad', 'Appetizer'}"
470,Minestrone Premium (m471),{'Soup'}
471,Broccoli Cheddar Soup Spicy (m472),"{'Salad', 'Soup'}"
472,Gazpacho Deluxe (m473),"{'Soup', 'Dessert'}"
473,Arugula Salad Special (m474),{'Salad'}
474,Taco Salad Classic (m475),"{'Side', 'Salad', 'Appetizer'}"
475,Sprite Mild (m476),"{'Soup', 'Beverage'}"
476,Iced Coffee (m477),"{'Soup', 'Beverage', 'Side'}"
477,Hot and Sour Soup Mild (m478),"{'Soup', 'Beverage', 'Side'}"
478,French Onion Soup Special (m479),"{'Soup', 'Dessert'}"
479,Pancakes Premium (m480),"{'Main Course', 'Breakfast Item'}"
480,Chocolate Mousse (m481),{'Dessert'}
481,Bruschetta (m482),"{'Salad', 'Appetizer'}"
482,Croissant Classic (m483),{'Breakfast Item'}
483,Steak Fajitas Deluxe (m484),"{'Main Course', 'Side'}"
484,Beef Kebab Classic (m485),{'Main Course'}
485,Roasted Vegetables Light (m486),"{'Soup', 'Side'}"
486,Green Beans Spicy (m487),"{'Salad', 'Side'}"
487,Crème Brûlée Classic (m488),"{'Salad', 'Dessert'}"
488,Lamb Chops Light (m489),"{'Main Course', 'Side'}"
489,Greek Salad Light (m490),"{'Salad', 'Appetizer'}"
490,French Toast Classic (m491),"{'Soup', 'Breakfast Item'}"
491,Panna Cotta Premium (m492),"{'Main Course', 'Dessert'}"
492,Cookies Spicy (m493),"{'Appetizer', 'Dessert'}"
493,Chicken Tortilla Soup Classic (m494),{'Soup'}
494,Lobster Bisque Mild (m495),"{'Main Course', 'Soup'}"
495,Tomato Soup Special (m496),"{'Main Course', 'Soup'}"
496,Pho Mild (m497),"{'Soup', 'Dessert'}"
497,Muffin (m498),"{'Breakfast Item', 'Beverage'}"
498,Miso Soup Premium (m499),{'Soup'}
499,Garden Salad Mild (m500),"{'Salad', 'Soup'}"
500,Corn on the Cob Special (m501),"{'Soup', 'Side'}"
501,Buffalo Wings (m502),"{'Side', 'Appetizer'}"
502,Waffles Deluxe (m503),{'Breakfast Item'}
503,Falafel Wrap Spicy (m504),"{'Main Course', 'Appetizer'}"
504,Greek Salad Special (m505),{'Salad'}
505,Baklava Light (m506),{'Dessert'}
506,Clams Casino Light (m507),{'Appetizer'}
507,Sprite Premium (m508),{'Beverage'}
508,Sprite Spicy (m509),"{'Main Course', 'Beverage'}"
509,Cauliflower Mash Spicy (m510),{'Side'}
510,Vegetable Curry Special (m511),{'Main Course'}
511,Asian Salad Premium (m512),"{'Salad', 'Side'}"
512,Crepes Mild (m513),{'Breakfast Item'}
513,Dumplings Light (m514),{'Appetizer'}
514,Chicken Shawarma Mild (m515),{'Main Course'}
515,Fruit Tart Classic (m516),"{'Side', 'Dessert'}"
516,Grilled Salmon Deluxe (m517),{'Main Course'}
517,Cupcakes Premium (m518),"{'Appetizer', 'Side', 'Dessert'}"
518,Avocado Toast Deluxe (m519),{'Breakfast Item'}
519,Pizza Margherita Spicy (m520),{'Main Course'}
520,Waffles Spicy (m521),"{'Soup', 'Salad', 'Breakfast Item'}"
521,Grilled Eggplant Spicy (m522),{'Side'}
522,Crab Cakes (m523),{'Appetizer'}
523,Panna Cotta Light (m524),"{'Appetizer', 'Dessert'}"
524,Scrambled Eggs Premium (m525),{'Breakfast Item'}
525,Pasta Salad Light (m526),{'Salad'}
526,Smoothie Premium (m527),"{'Soup', 'Beverage', 'Side'}"
527,Steak Fajitas Light (m528),"{'Main Course', 'Salad'}"
528,Muffin Spicy (m529),{'Breakfast Item'}
529,Butternut Squash Soup (m530),"{'Soup', 'Side'}"
530,Banana Split Classic (m531),"{'Salad', 'Dessert'}"
531,Lentil Soup Special (m532),{'Soup'}
532,Ice Cream Classic (m533),"{'Appetizer', 'Soup', 'Dessert'}"
533,Strawberry Smoothie (m534),"{'Salad', 'Beverage', 'Appetizer'}"
534,Banana Split Premium (m535),"{'Salad', 'Beverage', 'Dessert'}"
535,Danish Mild (m536),{'Breakfast Item'}
536,Clam Chowder Classic (m537),"{'Main Course', 'Soup', 'Salad'}"
537,Yams Mild (m538),"{'Appetizer', 'Side'}"
538,Broccoli Cheddar Soup Spicy (m539),"{'Main Course', 'Soup', 'Breakfast Item'}"
539,Oat Milk Classic (m540),"{'Beverage', 'Dessert'}"
540,Pasta Salad Spicy (m541),"{'Salad', 'Breakfast Item', 'Appetizer'}"
541,Clams Casino (m542),"{'Main Course', 'Beverage', 'Appetizer'}"
542,Lasagna Spicy (m543),"{'Main Course', 'Salad'}"
543,Stuffed Mushrooms Special (m544),"{'Dessert', 'Appetizer'}"
544,Butternut Squash Soup Classic (m545),{'Soup'}
545,Gelato Light (m546),"{'Breakfast Item', 'Dessert'}"
546,Crab Cakes Special (m547),"{'Breakfast Item', 'Appetizer'}"
547,Coffee Spicy (m548),{'Beverage'}
548,Vanilla Latte Classic (m549),"{'Salad', 'Beverage', 'Dessert'}"
549,Caprese Salad Spicy (m550),"{'Salad', 'Main Course'}"
550,Butternut Squash Soup Light (m551),"{'Soup', 'Dessert'}"
551,Beef Kebab Mild (m552),{'Main Course'}
552,Sweet Potato Fries Deluxe (m553),"{'Salad', 'Side'}"
553,Rice Pilaf Deluxe (m554),{'Side'}
554,Bean Soup (m555),{'Soup'}
555,Beet Salad Light (m556),"{'Salad', 'Breakfast Item'}"
556,Matcha Latte Classic (m557),{'Beverage'}
557,Carrot Cake Spicy (m558),{'Dessert'}
558,Cupcakes Light (m559),"{'Salad', 'Breakfast Item', 'Dessert'}"
559,Kale Salad Premium (m560),"{'Salad', 'Dessert'}"
560,Buffalo Wings (m561),{'Appetizer'}
561,Crème Brûlée Classic (m562),"{'Main Course', 'Soup', 'Dessert'}"
562,Bacon Wrapped Dates Classic (m563),"{'Salad', 'Appetizer'}"
563,Breakfast Potatoes Deluxe (m564),"{'Breakfast Item', 'Beverage'}"
564,Cheesecake Deluxe (m565),{'Dessert'}
565,Espresso Special (m566),"{'Beverage', 'Side'}"
566,Lasagna Special (m567),"{'Main Course', 'Dessert'}"
567,Pumpkin Soup Special (m568),"{'Main Course', 'Soup', 'Appetizer'}"
568,Crab Cakes Light (m569),{'Appetizer'}
569,Salmon Fillet (m570),{'Main Course'}
570,Caprese Salad Light (m571),{'Salad'}
571,Omelet Premium (m572),"{'Main Course', 'Breakfast Item', 'Salad'}"
572,Tiramisu Light (m573),{'Dessert'}
573,Crepes Premium (m574),{'Breakfast Item'}
574,Cranberry Juice Classic (m575),"{'Salad', 'Beverage'}"
575,Butternut Squash Soup Spicy (m576),{'Soup'}
576,Fish Tacos Mild (m577),"{'Main Course', 'Beverage'}"
577,Vegetable Curry Mild (m578),{'Main Course'}
578,Crème Brûlée (m579),{'Dessert'}
579,Lentil Soup Special (m580),"{'Soup', 'Beverage', 'Dessert'}"
580,Hot and Sour Soup Spicy (m581),"{'Soup', 'Breakfast Item'}"
581,Buffalo Wings Special (m582),{'Appetizer'}
582,Salmon Teriyaki (m583),{'Main Course'}
583,Coffee Deluxe (m584),"{'Main Course', 'Beverage'}"
584,Soy Milk Deluxe (m585),{'Beverage'}
585,Cobb Salad Deluxe (m586),"{'Salad', 'Soup', 'Appetizer'}"
586,Apple Juice Deluxe (m587),{'Beverage'}
587,Mashed Potatoes Classic (m588),"{'Appetizer', 'Side'}"
588,French Onion Soup Special (m589),{'Soup'}
589,Lobster Bisque Deluxe (m590),{'Soup'}
590,Chicken Alfredo Premium (m591),"{'Main Course', 'Salad', 'Beverage'}"
591,Banana Smoothie Premium (m592),{'Beverage'}
592,Almond Milk Light (m593),"{'Salad', 'Beverage', 'Dessert'}"
593,Ramen Special (m594),"{'Soup', 'Breakfast Item', 'Appetizer'}"
594,Polenta Premium (m595),{'Side'}
595,Corn Chowder Classic (m596),{'Soup'}
596,Beef Stroganoff Deluxe (m597),"{'Main Course', 'Salad'}"
597,Yogurt Spicy (m598),{'Breakfast Item'}
598,Green Beans Premium (m599),{'Side'}
599,Potato Salad Spicy (m600),{'Salad'}
600,Stuffing Deluxe (m601),{'Side'}
601,Sautéed Mushrooms Special (m602),"{'Soup', 'Side'}"
602,Mushroom Soup Light (m603),"{'Main Course', 'Soup', 'Salad'}"
603,Fruit Bowl Light (m604),"{'Soup', 'Salad', 'Breakfast Item'}"
604,Donut (m605),"{'Soup', 'Breakfast Item', 'Dessert'}"
605,Chicken Teriyaki (m606),"{'Main Course', 'Beverage'}"
606,Pasta Salad Light (m607),{'Salad'}
607,Buffalo Wings Classic (m608),"{'Dessert', 'Appetizer'}"
608,Grape Juice Spicy (m609),"{'Breakfast Item', 'Beverage'}"
609,Edamame Premium (m610),"{'Salad', 'Soup', 'Appetizer'}"
610,Americano (m611),"{'Main Course', 'Beverage'}"
611,Bagel Mild (m612),{'Breakfast Item'}
612,Chocolate Mousse Premium (m613),"{'Main Course', 'Dessert'}"
613,Chicken Tortilla Soup Mild (m614),{'Soup'}
614,Garlic Bread Classic (m615),{'Side'}
615,Cereal Special (m616),"{'Soup', 'Breakfast Item'}"
616,Pork Fried Rice Premium (m617),"{'Main Course', 'Beverage'}"
617,Chicken Souvlaki Spicy (m618),{'Main Course'}
618,Crème Brûlée Special (m619),{'Dessert'}
619,Lasagna Mild (m620),"{'Main Course', 'Beverage'}"
620,Potato Leek Soup Mild (m621),"{'Main Course', 'Soup', 'Salad'}"
621,Scone (m622),{'Breakfast Item'}
622,Lamb Chops (m623),{'Main Course'}
623,Red Velvet Cake Spicy (m624),"{'Soup', 'Dessert'}"
624,French Onion Soup Mild (m625),"{'Soup', 'Beverage'}"
625,Potato Salad Special (m626),{'Side'}
626,Brussels Sprouts Light (m627),{'Side'}
627,Breakfast Burrito Spicy (m628),"{'Breakfast Item', 'Appetizer'}"
628,Strawberry Shortcake Mild (m629),{'Dessert'}
629,Fish Curry Light (m630),"{'Main Course', 'Salad'}"
630,Fish Tacos Classic (m631),{'Main Course'}
631,Donut Spicy (m632),{'Dessert'}
632,Vanilla Latte Spicy (m633),{'Beverage'}
633,Crème Brûlée Premium (m634),"{'Soup', 'Dessert'}"
634,Prosciutto Melon Classic (m635),"{'Salad', 'Soup', 'Appetizer'}"
635,Iced Coffee Light (m636),"{'Salad', 'Beverage', 'Main Course'}"
636,Bacon Deluxe (m637),{'Breakfast Item'}
637,Falafel Wrap Mild (m638),{'Main Course'}
638,Potato Leek Soup Special (m639),{'Soup'}
639,Rice Pudding Mild (m640),"{'Beverage', 'Dessert'}"
640,Biscuits and Gravy (m641),"{'Salad', 'Breakfast Item'}"
641,French Fries (m642),"{'Breakfast Item', 'Side'}"
642,Shrimp Cocktail Special (m643),"{'Side', 'Appetizer'}"
643,Egg Salad Classic (m644),"{'Salad', 'Appetizer'}"
644,Grilled Salmon Deluxe (m645),{'Main Course'}
645,Sautéed Mushrooms Mild (m646),{'Side'}
646,Fruit Salad Deluxe (m647),"{'Salad', 'Soup', 'Dessert'}"
647,Sausage Mild (m648),"{'Breakfast Item', 'Beverage'}"
648,Beef Stew Special (m649),{'Main Course'}
649,Scrambled Eggs Light (m650),"{'Breakfast Item', 'Appetizer'}"
650,Herbal Tea Premium (m651),{'Beverage'}
651,French Toast Deluxe (m652),"{'Breakfast Item', 'Appetizer'}"
652,Taco Salad Classic (m653),{'Salad'}
653,Sautéed Mushrooms Mild (m654),{'Side'}
654,French Fries (m655),"{'Appetizer', 'Side'}"
655,Quiche Deluxe (m656),"{'Breakfast Item', 'Dessert'}"
656,Americano (m657),"{'Salad', 'Beverage'}"
657,Quiche Mild (m658),"{'Breakfast Item', 'Side'}"
658,Lamb Kebab Premium (m659),{'Main Course'}
659,Nicoise Salad Premium (m660),{'Salad'}
660,Chef Salad Spicy (m661),"{'Salad', 'Appetizer'}"
661,Mediterranean Salad Premium (m662),{'Salad'}
662,Chicken Rice Soup Spicy (m663),"{'Salad', 'Soup'}"
663,Baklava Spicy (m664),{'Dessert'}
664,Cucumber Salad Spicy (m665),"{'Salad', 'Dessert'}"
665,Polenta Deluxe (m666),{'Side'}
666,Ramen Classic (m667),{'Soup'}
667,Espresso Mild (m668),{'Beverage'}
668,Samosas Special (m669),{'Appetizer'}
669,Beet Salad Premium (m670),{'Salad'}
670,Prosciutto Melon Special (m671),{'Appetizer'}
671,Waldorf Salad Special (m672),{'Salad'}
672,Baked Potato Mild (m673),{'Side'}
673,Grilled Chicken Deluxe (m674),"{'Main Course', 'Appetizer'}"
674,Vegetable Stir Fry Classic (m675),"{'Main Course', 'Salad'}"
675,Couscous (m676),{'Side'}
676,Salmon Teriyaki Spicy (m677),"{'Main Course', 'Appetizer'}"
677,Calamari (m678),{'Appetizer'}
678,Croissant Deluxe (m679),"{'Salad', 'Breakfast Item'}"
679,Breakfast Burrito Special (m680),{'Breakfast Item'}
680,Lentil Soup Deluxe (m681),"{'Soup', 'Dessert'}"
681,Pudding Light (m682),"{'Soup', 'Dessert'}"
682,Tomato Juice Mild (m683),{'Beverage'}
683,Toast Mild (m684),"{'Breakfast Item', 'Dessert'}"
684,Spring Rolls Premium (m685),"{'Main Course', 'Dessert', 'Appetizer'}"
685,Beef Stew (m686),{'Main Course'}
686,Chicken Curry Deluxe (m687),"{'Main Course', 'Beverage', 'Dessert'}"
687,Caprese Salad Deluxe (m688),{'Appetizer'}
688,Waldorf Salad (m689),{'Salad'}
689,Yogurt Spicy (m690),{'Breakfast Item'}
690,Donut Mild (m691),"{'Appetizer', 'Dessert'}"
691,French Fries Light (m692),{'Side'}
692,Bread Pudding Premium (m693),"{'Side', 'Dessert'}"
693,Waldorf Salad Light (m694),"{'Salad', 'Beverage', 'Side'}"
694,Mashed Potatoes Deluxe (m695),"{'Appetizer', 'Side'}"
695,Burger Premium (m696),"{'Main Course', 'Salad'}"
696,Waldorf Salad Spicy (m697),{'Salad'}
697,Éclair Classic (m698),"{'Side', 'Dessert'}"
698,Mousse Mild (m699),{'Dessert'}
699,Vegetable Soup Spicy (m700),{'Soup'}
700,Hot and Sour Soup Special (m701),"{'Soup', 'Appetizer'}"
701,Crepes Mild (m702),{'Breakfast Item'}
702,Cookies Special (m703),"{'Soup', 'Dessert'}"
703,Macarons Special (m704),"{'Appetizer', 'Beverage', 'Dessert'}"
704,Burger Deluxe (m705),{'Main Course'}
705,Corn Chowder Premium (m706),"{'Soup', 'Appetizer'}"
706,Pork Fried Rice Classic (m707),{'Main Course'}
707,Potato Salad Mild (m708),"{'Salad', 'Beverage'}"
708,Beef Stew (m709),"{'Soup', 'Beverage'}"
709,English Muffin (m710),{'Breakfast Item'}
710,Prosciutto Melon Special (m711),{'Appetizer'}
711,Fruit Salad Classic (m712),"{'Salad', 'Beverage', 'Side'}"
712,Pineapple Juice Premium (m713),{'Beverage'}
713,Couscous Mild (m714),{'Side'}
714,Hot and Sour Soup Classic (m715),"{'Main Course', 'Soup', 'Appetizer'}"
715,Cobb Salad Light (m716),"{'Salad', 'Breakfast Item', 'Beverage'}"
716,Grilled Chicken Spicy (m717),{'Main Course'}
717,Peach Tea Deluxe (m718),{'Beverage'}
718,Fruit Salad Light (m719),"{'Salad', 'Appetizer'}"
719,Chicken Quesadilla Mild (m720),{'Main Course'}
720,Bruschetta (m721),{'Appetizer'}
721,Coleslaw Deluxe (m722),{'Side'}
722,Potato Leek Soup Premium (m723),"{'Soup', 'Breakfast Item'}"
723,Panna Cotta Light (m724),"{'Salad', 'Beverage', 'Dessert'}"
724,French Toast Deluxe (m725),{'Breakfast Item'}
725,Mediterranean Salad Special (m726),{'Salad'}
726,Miso Soup Deluxe (m727),{'Soup'}
727,Fruit Bowl Mild (m728),"{'Breakfast Item', 'Side'}"
728,Apple Pie Deluxe (m729),{'Dessert'}
729,Sausage Premium (m730),"{'Salad', 'Breakfast Item', 'Dessert'}"
730,Split Pea Soup Premium (m731),{'Soup'}
731,Fruit Punch (m732),"{'Soup', 'Beverage'}"
732,Oysters Deluxe (m733),"{'Side', 'Salad', 'Appetizer'}"
733,Waffles Premium (m734),{'Breakfast Item'}
734,Kale Salad Light (m735),"{'Salad', 'Beverage'}"
735,Hash Browns Light (m736),"{'Salad', 'Breakfast Item'}"
736,Potato Salad Spicy (m737),"{'Beverage', 'Side'}"
737,Crab Cakes (m738),"{'Breakfast Item', 'Beverage', 'Appetizer'}"
738,Apple Juice Mild (m739),{'Beverage'}
739,Scrambled Eggs Light (m740),{'Breakfast Item'}
740,Lobster Bisque Special (m741),{'Soup'}
741,Potato Skins Premium (m742),{'Appetizer'}
742,Tomato Soup Premium (m743),{'Soup'}
743,Butternut Squash Soup Special (m744),{'Soup'}
744,Roast Turkey Premium (m745),{'Main Course'}
745,Mediterranean Salad Special (m746),"{'Salad', 'Soup', 'Side'}"
746,Sausage (m747),{'Breakfast Item'}
747,Grilled Eggplant Classic (m748),{'Side'}
748,Greek Salad Classic (m749),{'Salad'}
749,Chicken Noodle Soup Premium (m750),{'Soup'}
750,Cinnamon Roll Spicy (m751),"{'Breakfast Item', 'Side'}"
751,Carrot Ginger Soup Spicy (m752),"{'Salad', 'Soup'}"
752,Caprese Salad Spicy (m753),"{'Salad', 'Breakfast Item'}"
753,Spring Rolls Light (m754),"{'Beverage', 'Appetizer'}"
754,Lamb Chops Special (m755),{'Main Course'}
755,Herbal Tea Classic (m756),"{'Beverage', 'Appetizer'}"
756,Pork Schnitzel Premium (m757),{'Main Course'}
757,French Fries Deluxe (m758),"{'Breakfast Item', 'Side'}"
758,Potato Skins Deluxe (m759),{'Appetizer'}
759,Pepsi Mild (m760),{'Beverage'}
760,French Fries Mild (m761),{'Side'}
761,Cinnamon Roll Premium (m762),"{'Soup', 'Breakfast Item'}"
762,Tiramisu Special (m763),"{'Appetizer', 'Dessert'}"
763,Miso Soup (m764),{'Soup'}
764,French Onion Soup Spicy (m765),{'Soup'}
765,Hot Tea Deluxe (m766),{'Beverage'}
766,Fruit Punch Premium (m767),{'Beverage'}
767,Polenta (m768),"{'Appetizer', 'Side'}"
768,French Fries Mild (m769),{'Side'}
769,Deviled Eggs Mild (m770),{'Appetizer'}
770,Waldorf Salad Classic (m771),"{'Salad', 'Dessert'}"
771,Potato Skins Deluxe (m772),"{'Breakfast Item', 'Appetizer'}"
772,Mango Juice Special (m773),"{'Beverage', 'Appetizer'}"
773,Baklava Deluxe (m774),"{'Salad', 'Main Course', 'Dessert'}"
774,Fried Rice Premium (m775),"{'Salad', 'Side'}"
775,Pepsi Special (m776),{'Beverage'}
776,Quinoa Salad Spicy (m777),{'Salad'}
777,Corn on the Cob Classic (m778),"{'Dessert', 'Side'}"
778,Tomato Soup Classic (m779),"{'Soup', 'Beverage', 'Appetizer'}"
779,Miso Soup Premium (m780),{'Soup'}
780,Tuna Salad Classic (m781),{'Salad'}
781,Orange Juice Special (m782),"{'Salad', 'Beverage', 'Appetizer'}"
782,Corn Chowder Mild (m783),"{'Soup', 'Dessert'}"
783,Cinnamon Roll Spicy (m784),{'Breakfast Item'}
784,Potato Leek Soup Light (m785),"{'Soup', 'Side'}"
785,Fruit Salad Special (m786),{'Salad'}
786,Greek Salad Deluxe (m787),{'Salad'}
787,Goat Cheese Crostini Light (m788),{'Appetizer'}
788,Couscous Special (m789),"{'Dessert', 'Side'}"
789,Gazpacho Mild (m790),{'Soup'}
790,Macarons Mild (m791),{'Dessert'}
791,Bread Pudding (m792),"{'Salad', 'Dessert'}"
792,Greek Salad (m793),{'Salad'}
793,Vegetable Soup Mild (m794),{'Soup'}
794,Fruit Tart Classic (m795),{'Dessert'}
795,Stuffed Peppers Light (m796),"{'Side', 'Appetizer'}"
796,Biscuits and Gravy Spicy (m797),"{'Main Course', 'Breakfast Item'}"
797,Wild Rice (m798),{'Side'}
798,Cinnamon Roll Light (m799),"{'Breakfast Item', 'Side'}"
799,Brussels Sprouts Classic (m800),{'Side'}
800,Chicken Shawarma Mild (m801),{'Main Course'}
801,Croissant Deluxe (m802),"{'Breakfast Item', 'Beverage'}"
802,Potato Leek Soup (m803),{'Soup'}
803,Vegetable Soup Spicy (m804),"{'Salad', 'Soup', 'Beverage'}"
804,Coffee Deluxe (m805),"{'Soup', 'Beverage', 'Dessert'}"
805,Pho Spicy (m806),"{'Soup', 'Beverage'}"
806,Fish and Chips Deluxe (m807),"{'Main Course', 'Beverage'}"
807,Stuffing Mild (m808),{'Side'}
808,Potato Leek Soup Mild (m809),{'Soup'}
809,Lamb Kebab Spicy (m810),{'Main Course'}
810,Stuffed Peppers Classic (m811),{'Appetizer'}
811,Beef Stew Deluxe (m812),{'Main Course'}
812,Chef Salad Light (m813),{'Salad'}
813,Clam Chowder (m814),{'Soup'}
814,Potato Skins (m815),"{'Salad', 'Appetizer'}"
815,Calamari (m816),"{'Main Course', 'Appetizer'}"
816,Toast (m817),{'Breakfast Item'}
817,Shrimp Scampi Spicy (m818),{'Main Course'}
818,Creamed Spinach Special (m819),{'Side'}
819,Asparagus Premium (m820),"{'Beverage', 'Dessert', 'Side'}"
820,Mediterranean Salad Special (m821),{'Salad'}
821,Grilled Chicken Special (m822),"{'Main Course', 'Beverage'}"
822,Soy Milk Spicy (m823),{'Beverage'}
823,Bean Soup Mild (m824),{'Soup'}
824,Beef Stew Special (m825),{'Soup'}
825,Breakfast Burrito Deluxe (m826),{'Breakfast Item'}
826,Cucumber Salad Deluxe (m827),{'Salad'}
827,Chicken Tortilla Soup Special (m828),{'Soup'}
828,Éclair Classic (m829),"{'Appetizer', 'Salad', 'Dessert'}"
829,Strawberry Shortcake Spicy (m830),{'Dessert'}
830,Meatloaf Spicy (m831),{'Main Course'}
831,Fruit Smoothie Bowl Deluxe (m832),{'Breakfast Item'}
832,Buffalo Wings Spicy (m833),"{'Soup', 'Appetizer'}"
833,Rice Noodles Mild (m834),{'Side'}
834,Sausage Classic (m835),"{'Soup', 'Salad', 'Breakfast Item'}"
835,Edamame (m836),{'Side'}
836,Smoothie Light (m837),"{'Beverage', 'Dessert'}"
837,Fruit Smoothie Bowl Light (m838),{'Breakfast Item'}
838,Beef Stew Deluxe (m839),"{'Soup', 'Dessert'}"
839,Waffles Premium (m840),{'Breakfast Item'}
840,Couscous Mild (m841),{'Side'}
841,Arugula Salad (m842),{'Salad'}
842,Panna Cotta Special (m843),{'Dessert'}
843,Fish and Chips Special (m844),{'Main Course'}
844,Spinach Artichoke Dip Mild (m845),{'Appetizer'}
845,Calamari Classic (m846),"{'Side', 'Appetizer'}"
846,Pasta Carbonara (m847),"{'Main Course', 'Soup', 'Appetizer'}"
847,Avocado Toast Spicy (m848),{'Breakfast Item'}
848,Polenta Light (m849),"{'Main Course', 'Side'}"
849,Granola Special (m850),"{'Salad', 'Breakfast Item'}"
850,Onion Rings Deluxe (m851),{'Side'}
851,Granola Spicy (m852),{'Breakfast Item'}
852,Beef Burrito Special (m853),"{'Main Course', 'Beverage'}"
853,Roasted Carrots Special (m854),"{'Beverage', 'Side'}"
854,Sorbet Classic (m855),"{'Breakfast Item', 'Dessert'}"
855,Pork Ribs Premium (m856),{'Main Course'}
856,Wild Rice Special (m857),"{'Breakfast Item', 'Side'}"
857,Mozzarella Sticks Special (m858),{'Appetizer'}
858,Rice Pilaf Premium (m859),{'Side'}
859,Baklava Light (m860),"{'Soup', 'Dessert'}"
860,Vegetable Stir Fry Premium (m861),"{'Main Course', 'Appetizer'}"
861,Americano Deluxe (m862),"{'Beverage', 'Appetizer'}"
862,BBQ Chicken Classic (m863),{'Main Course'}
863,Spinach Artichoke Dip Classic (m864),"{'Dessert', 'Appetizer'}"
864,Broccoli Cheddar Soup Mild (m865),"{'Main Course', 'Soup'}"
865,Oysters Spicy (m866),"{'Breakfast Item', 'Appetizer'}"
866,Gelato Spicy (m867),"{'Soup', 'Dessert'}"
867,Almond Milk Spicy (m868),"{'Soup', 'Beverage'}"
868,Arugula Salad Classic (m869),{'Salad'}
869,Mac and Cheese Deluxe (m870),"{'Dessert', 'Side'}"
870,Quiche Classic (m871),"{'Breakfast Item', 'Side'}"
871,Spinach Artichoke Dip Spicy (m872),"{'Dessert', 'Appetizer'}"
872,Pudding Premium (m873),{'Dessert'}
873,Jalapeño Poppers Premium (m874),{'Appetizer'}
874,Sliders Premium (m875),"{'Salad', 'Appetizer'}"
875,Churros Premium (m876),{'Dessert'}
876,Gazpacho Spicy (m877),"{'Soup', 'Side'}"
877,Quinoa Salad Light (m878),"{'Salad', 'Main Course'}"
878,Chicken Skewers Mild (m879),"{'Side', 'Appetizer'}"
879,Sliders Spicy (m880),"{'Side', 'Dessert', 'Appetizer'}"
880,Brussels Sprouts Deluxe (m881),{'Side'}
881,Crème Brûlée Classic (m882),{'Dessert'}
882,Asian Salad Deluxe (m883),"{'Salad', 'Appetizer'}"
883,Muffin Spicy (m884),{'Breakfast Item'}
884,Mozzarella Sticks Deluxe (m885),{'Appetizer'}
885,Grilled Salmon Mild (m886),{'Main Course'}
886,Hot Chocolate Classic (m887),"{'Beverage', 'Side'}"
887,Garden Salad Light (m888),"{'Salad', 'Soup', 'Beverage'}"
888,Pork Ribs Spicy (m889),{'Main Course'}
889,Breakfast Potatoes Deluxe (m890),{'Breakfast Item'}
890,Croissant Spicy (m891),"{'Salad', 'Breakfast Item', 'Dessert'}"
891,Roasted Carrots Premium (m892),{'Side'}
892,Panna Cotta Classic (m893),"{'Appetizer', 'Main Course', 'Dessert'}"
893,Caprese Salad (m894),{'Salad'}
894,Cheese Platter Spicy (m895),{'Appetizer'}
895,Mashed Potatoes Classic (m896),{'Side'}
896,Corn on the Cob Spicy (m897),{'Side'}
897,Breakfast Sandwich Special (m898),"{'Breakfast Item', 'Beverage', 'Side'}"
898,Beef Stew Spicy (m899),{'Soup'}
899,Grilled Eggplant Spicy (m900),{'Side'}
900,Scone Deluxe (m901),{'Breakfast Item'}
901,Pumpkin Soup (m902),"{'Appetizer', 'Soup', 'Side'}"
902,Grilled Eggplant Premium (m903),{'Side'}
903,Broccoli Cheddar Soup Premium (m904),{'Soup'}
904,Sorbet Light (m905),"{'Salad', 'Soup', 'Dessert'}"
905,Wild Rice Spicy (m906),"{'Main Course', 'Breakfast Item', 'Side'}"
906,Pork Schnitzel (m907),{'Main Course'}
907,Tomato Juice Classic (m908),"{'Breakfast Item', 'Beverage', 'Appetizer'}"
908,Carrot Cake (m909),{'Dessert'}
909,Potato Skins Spicy (m910),{'Appetizer'}
910,Crème Brûlée Special (m911),{'Dessert'}
911,Shrimp Cocktail (m912),"{'Breakfast Item', 'Appetizer'}"
912,Lemonade (m913),{'Beverage'}
913,Chicken Parmesan Mild (m914),{'Main Course'}
914,Beef Steak Premium (m915),{'Main Course'}
915,Sliders Spicy (m916),{'Appetizer'}
916,Beef Carpaccio (m917),"{'Salad', 'Beverage', 'Appetizer'}"
917,Buffalo Wings Premium (m918),{'Appetizer'}
918,Fruit Smoothie Bowl Classic (m919),{'Breakfast Item'}
919,Beef Stroganoff Spicy (m920),{'Main Course'}
920,Cheese Platter Deluxe (m921),{'Appetizer'}
921,Dumplings Mild (m922),"{'Dessert', 'Appetizer'}"
922,Cheese Platter Spicy (m923),"{'Soup', 'Appetizer'}"
923,Meatball Sub Classic (m924),{'Main Course'}
